Product Name,,Foodpanda,TC Start Date,11/10/2023,,TC Execution Start Date,, - -,,,,,TEST CASE,
Module Name,,Corporate Account,TC End Date,,,TC Execution End Date,, - -,,,,,PASS,61
Epic,,,Test Case Developed By,MD Touhedul Islam,,Browser (tested),,Yes,,,,,FAIL,19
Developer Name (TL),,,Test Case Reviewed By,Ehsanul Alam Sabbir,,Performance (tested),,Yes,,,,,NO RUN,1
Test Executed by,,,,,,,,,,,,,BLOCKED,0
,,,,,,,,,,,,,TOTAL,81
#SL,,Test ID,Module,Type of Testing,Sub Test ID,Test Cases,Exepected  Result,Actual Result,Test Data,"Reproducing
Steps",Bugs Screen Shot ,Dev Comments,Final Status,Remarks
1,,TC_0,"Browser 
Compatibility Testing",,TC_0.1,Checking by running the URL site in different browsers.,Should be run in different browsers.,Found as per expectation.,"Browsers-Chrome, 
Internet Explorer, Mozilla Firefox,
Microsoft Edge,
Opera Mini.","1. Go to different browsers.
2. Search 'foodpanda' 3. Go to the website.",,,Passed,
,,,,,,,,,,,,,,
2,,TC_1,"
Corporate Sign Up",UI Testing,TC_1.1,"Verify the alignment of displayed elements on the Sign up screen
should be compatible in cross browsers testing.","Should be clicked on the ""Sign Up Now"" link.",Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the SIGN UP NOW button in the header .
3. Click the ""SIGN UP NOW"" link",,,Passed,
3,,,,,TC_1.2,"Verify all login-related elements and fields are present on the login
page.", Should be present the mandatory field .,Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Get started in the left corner.
3. Click the ""Get started"" link and check the spelling and grammatical mistakes.",,,Passed,
4,,,,,TC_1.3,Verify the displayed element are in alignment from. ,Elements should be in aligment from. .,Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the header.
3. Click the ""Get started"" link and check * this sign.",,,Passed,
5,,,,,TC_1.4,"Verify that the size, color, and UI of different elements should match
the specifications.",Should be as per the client requirement,Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get startde"" link and check * this sign.",,,Passed,
,,,,,TC_1.5,"Verify Mandatory  field should have a red “*” mark if it’s required
","Displayed The red ""*"" mark is prominently next to the required field.",Not Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and Go to https://www.foodpanda.com.bd/corporate/sign-up ",,,Not Executed,
6,,,,,TC_1.6,"Verify that the login page of the application is responsive and aligns
properly on different screen resolutions and devices",A text should appear over the fields.,Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and check  Hover over every fields.",,,Passed,
,,,,,,,,,,,,,,
16,,TC_2,,,TC_2.1,Verify the Company Name field empty,Display an error message prompting the user to fill in the Company Name.,Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and Go to https://www.foodpanda.com.bd/corporate/sign-up ",,,Passed,
17,,,,,TC_2.2,Verify the Company Name that the user cannot enter special characters in the name field.,Display an error message prompting the user to Please fill in Company Name in correct format.,Not Found as per expectation.,Webit*@%71,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Account button in the right corner.
3. Click the ""Register"" link and check the  "" Confirm"" button.",,,Failed,
,,,,,TC_2.3,Verify the Company Name that the user should not be able to enter numeric special characters in the name field.,Display an error message prompting the user to Please fill in Company Name in correct format.,Not Found as per expectation.,123456,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and Go to https://www.foodpanda.com.bd/corporate/sign-up ",,,Failed,
,,,,,TC_2.4,Verify the Company Name  minimum length of characters in the name field.,Display an error message prompting the user to Please fill in Company Name in correct format.,Not Found as per expectation.,T,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and Go to https://www.foodpanda.com.bd/corporate/sign-up",,,Failed,
18,,,,,TC_2.5,Verify the Company name maximum length of characters in the name field.,Display an error message prompting the user to Please fill in Company Name in correct format.,Not Found as per expectation.,MD Touhedul Islam Sajib Cmpany LTD MD Touhedul Islam Sajib Cmpany LTDMD Touhedul Islam Sajib Cmpany LTD,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and Go to https://www.foodpanda.com.bd/corporate/sign-up",,,Failed,
19,,,,,TC_2.6,Verify the company name user can remove text from the name field.,"Display an pre-existing text in the ""Name"" field should be successfully removed, and the field should be empty",Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and Go to https://www.foodpanda.com.bd/corporate/sign-up",,,Passed,
22,,,,,TC_2.7,Verify the Company nameuser should be allowed to enter only alphabet characters in the name field.,Display an error message prompting the user to Please fill in Company Name in correct format.,Not Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and Go to https://www.foodpanda.com.bd/corporate/sign-up",,,Failed,
,,,,,,,,,,,,,,
,,TC_3,,,TC_3.1,Verify the Business registration number field empty,Display an error message prompting the user to fill in the Business registration number.,Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and Go to https://www.foodpanda.com.bd/corporate/sign-up ",,,Passed,
,,,,,TC_3.2,Verify the Industry field empty,Display an error message prompting the user to fill in the Industry.,Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and Go to https://www.foodpanda.com.bd/corporate/sign-up ",,,Passed,
,,,,,TC_3.3,Verify all values added in the dropdown list or not.,"Displayed For each expected value, the dropdown list should contain the value.",Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and Go to https://www.foodpanda.com.bd/corporate/sign-up ",,,Passed,
,,,,,TC_3.4,Check the spelling for the values in the dropdown list.,"The test is considered to have passed if all values in the dropdown list are spelled correctly. It is considered a failure if any value in the dropdown contains a spelling error or typo.
",Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and Go to https://www.foodpanda.com.bd/corporate/sign-up ",,,Passed,
,,,,,TC_3.5,"Verify all the values in the Dropdown align or not.
","All values in the dropdown align correctly, with no visual alignment issues such as misalignment, overlapping, or formatting problems.",Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and Go to https://www.foodpanda.com.bd/corporate/sign-up ",,,Passed,
,,,,,TC_3.6,Verify that the by default selected value is shown on the dropdown or not,"The retrieved value from the dropdown matches the expected default value.
",Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and Go to https://www.foodpanda.com.bd/corporate/sign-up ",,,Passed,
,,,,,TC_3.7,Verify that the dropdown should not be editable.,"To ensure that the dropdown field is not editable, meaning users cannot manually enter values into the dropdown field.


",Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and Go to https://www.foodpanda.com.bd/corporate/sign-up ",,,Passed,
,,,,,TC_3.8,"Verify that proper spacing is added on the dropdown values or not.
","To ensure that proper spacing is added to the dropdown values in the web application.
",Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and Go to https://www.foodpanda.com.bd/corporate/sign-up ",,,Passed,
,,,,,TC_3.9,"Verify mouse hover effect is added for the dropdown list or not.
","When the mouse pointer hovers over the dropdown list element, a visual change or effect should occur. This can include changes in color, highlighting, or the dropdown list expanding to show options.
",Found as per expectation.,None,"1. Go to the URL
https://www.foodpanda.com.bd//
2. Click on the Sign up now button in the Header.
3. Click the ""Get started"" link and Go to https://www.foodpanda.com.bd/corporate/sign-up ",,,Passed,
,,,,,,,,,,,,,,
